Area_Name,Year,Group_Name,Sub_Group_Name,Victims_Above_50_Yrs,Victims_Total,Victims_Upto_10_15_Yrs,Victims_Upto_10_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs
Himachal Pradesh,2010,Murder - Female Victims,2. Female Victims,2,28,0,3,0,11,12
Jammu & Kashmir,2010,Murder - Female Victims,2. Female Victims,3,30,0,1,0,15,11
Jharkhand,2010,Murder - Female Victims,2. Female Victims,12,256,0,0,1,141,102
Karnataka,2010,Murder - Female Victims,2. Female Victims,57,731,3,27,5,377,262
Kerala,2010,Murder - Female Victims,2. Female Victims,27,126,6,16,0,24,53
Madhya Pradesh,2010,Murder - Female Victims,2. Female Victims,60,551,13,21,9,246,202
Maharashtra,2010,Murder - Female Victims,2. Female Victims,84,1047,16,78,14,552,303
Manipur,2010,Murder - Female Victims,2. Female Victims,1,19,0,0,0,5,13
Meghalaya,2010,Murder - Female Victims,2. Female Victims,2,11,0,1,0,5,3
Mizoram,2010,Murder - Female Victims,2. Female Victims,1,8,0,0,1,0,6
Nagaland,2010,Murder - Female Victims,2. Female Victims,3,5,0,0,0,1,1
Odisha,2010,Murder - Female Victims,2. Female Victims,32,536,0,5,1,262,236
Puducherry,2010,Murder - Female Victims,2. Female Victims,NULL,4,NULL,NULL,NULL,3,1
Punjab,2010,Murder - Female Victims,2. Female Victims,21,242,6,11,6,107,91
Rajasthan,2010,Murder - Female Victims,2. Female Victims,32,306,8,14,9,130,113
Sikkim,2010,Murder - Female Victims,2. Female Victims,NULL,8,1,1,NULL,3,3
Tamil Nadu,2010,Murder - Female Victims,2. Female Victims,100,629,5,38,9,236,241
Tripura,2010,Murder - Female Victims,2. Female Victims,8,63,1,NULL,0,24,30
Uttar Pradesh,2010,Murder - Female Victims,2. Female Victims,56,859,30,62,47,421,243
Uttarakhand,2010,Murder - Female Victims,2. Female Victims,6,44,NULL,NULL,2,25,11
West Bengal,2010,Murder - Female Victims,2. Female Victims,36,893,3,2,2,542,308
Andaman & Nicobar Islands,2001,Murder - Male Victims,1. Male Victims,NULL,7,1,NULL,NULL,3,3
Andhra Pradesh,2001,Murder - Male Victims,1. Male Victims,215,2176,59,35,88,827,952
Arunachal Pradesh,2001,Murder - Male Victims,1. Male Victims,4,67,0,0,0,31,32
Assam,2001,Murder - Male Victims,1. Male Victims,67,1228,30,17,169,577,368
Bihar,2001,Murder - Male Victims,1. Male Victims,227,3277,2,2,156,1484,1406
Chandigarh,2001,Murder - Male Victims,1. Male Victims,1,10,0,0,0,4,5
Chhattisgarh,2001,Murder - Male Victims,1. Male Victims,142,1108,12,30,30,341,553
Dadra & Nagar Haveli,2001,Murder - Male Victims,1. Male Victims,NULL,3,NULL,NULL,NULL,1,2
Delhi,2001,Murder - Male Victims,1. Male Victims,28,422,10,13,12,231,128
Goa,2001,Murder - Male Victims,1. Male Victims,2,24,NULL,1,NULL,11,10
Gujarat,2001,Murder - Male Victims,1. Male Victims,87,917,11,50,18,335,416
Haryana,2001,Murder - Male Victims,1. Male Victims,38,675,11,24,47,291,264
Himachal Pradesh,2001,Murder - Male Victims,1. Male Victims,8,83,0,3,1,29,42
Jammu & Kashmir,2001,Murder - Male Victims,1. Male Victims,167,1225,37,8,160,385,468
Jharkhand,2001,Murder - Male Victims,1. Male Victims,136,1216,3,4,121,470,482
Karnataka,2001,Murder - Male Victims,1. Male Victims,130,1101,9,42,36,450,434
Kerala,2001,Murder - Male Victims,1. Male Victims,55,333,8,27,9,88,146
Madhya Pradesh,2001,Murder - Male Victims,1. Male Victims,70,1803,25,32,129,693,854
Maharashtra,2001,Murder - Male Victims,1. Male Victims,219,1882,28,113,39,740,743
Manipur,2001,Murder - Male Victims,1. Male Victims,10,225,NULL,NULL,8,137,70
Meghalaya,2001,Murder - Male Victims,1. Male Victims,1,163,0,0,0,112,50
Mizoram,2001,Murder - Male Victims,1. Male Victims,2,19,0,0,3,8,6
Nagaland,2001,Murder - Male Victims,1. Male Victims,3,107,1,0,3,64,36
Odisha,2001,Murder - Male Victims,1. Male Victims,46,745,2,0,43,350,304
Puducherry,2001,Murder - Male Victims,1. Male Victims,3,15,NULL,NULL,NULL,5,7
Punjab,2001,Murder - Male Victims,1. Male Victims,43,584,9,7,35,268,222
Rajasthan,2001,Murder - Male Victims,1. Male Victims,101,1027,14,10,32,389,481
Sikkim,2001,Murder - Male Victims,1. Male Victims,2,13,NULL,1,NULL,7,3
Tamil Nadu,2001,Murder - Male Victims,1. Male Victims,136,1137,8,3,136,391,463
Tripura,2001,Murder - Male Victims,1. Male Victims,20,231,6,NULL,15,90,100
Uttar Pradesh,2001,Murder - Male Victims,1. Male Victims,722,6857,93,29,189,3098,2726
Uttarakhand,2001,Murder - Male Victims,1. Male Victims,27,271,3,2,3,52,184
West Bengal,2001,Murder - Male Victims,1. Male Victims,82,1315,2,1,2,676,552
Andaman & Nicobar Islands,2002,Murder - Male Victims,1. Male Victims,2,10,0,0,0,4,4
Andhra Pradesh,2002,Murder - Male Victims,1. Male Victims,194,1989,3,7,10,949,826
Arunachal Pradesh,2002,Murder - Male Victims,1. Male Victims,NULL,57,NULL,NULL,0,31,26
Assam,2002,Murder - Male Victims,1. Male Victims,21,1142,0,2,0,763,356
Bihar,2002,Murder - Male Victims,1. Male Victims,155,3434,3,4,3,1874,1395
Chandigarh,2002,Murder - Male Victims,1. Male Victims,1,22,0,2,0,9,10
Chhattisgarh,2002,Murder - Male Victims,1. Male Victims,80,616,5,19,2,153,357
Dadra & Nagar Haveli,2002,Murder - Male Victims,1. Male Victims,1,10,0,0,0,2,7
Daman & Diu,2002,Murder - Male Victims,1. Male Victims,0,6,0,0,0,3,3
Delhi,2002,Murder - Male Victims,1. Male Victims,26,411,8,8,8,243,118
Goa,2002,Murder - Male Victims,1. Male Victims,6,24,NULL,1,1,9,7
Gujarat,2002,Murder - Male Victims,1. Male Victims,189,1733,16,72,31,723,702
Haryana,2002,Murder - Male Victims,1. Male Victims,32,655,8,4,4,336,271
Himachal Pradesh,2002,Murder - Male Victims,1. Male Victims,13,98,1,3,2,36,43
Jammu & Kashmir,2002,Murder - Male Victims,1. Male Victims,87,1144,0,0,2,493,562
Jharkhand,2002,Murder - Male Victims,1. Male Victims,238,1182,1,2,2,495,444
Karnataka,2002,Murder - Male Victims,1. Male Victims,131,1109,3,11,4,480,480
Kerala,2002,Murder - Male Victims,1. Male Victims,50,299,4,20,5,87,133
Madhya Pradesh,2002,Murder - Male Victims,1. Male Victims,144,1858,7,6,67,891,743
Maharashtra,2002,Murder - Male Victims,1. Male Victims,275,2025,27,81,27,716,899
Manipur,2002,Murder - Male Victims,1. Male Victims,5,208,0,NULL,0,123,80
Meghalaya,2002,Murder - Male Victims,1. Male Victims,3,159,0,0,2,76,78
Mizoram,2002,Murder - Male Victims,1. Male Victims,2,20,0,0,0,15,3
Nagaland,2002,Murder - Male Victims,1. Male Victims,1,105,2,0,7,71,24
Odisha,2002,Murder - Male Victims,1. Male Victims,48,802,2,2,0,378,372
Puducherry,2002,Murder - Male Victims,1. Male Victims,1,20,NULL,1,NULL,6,12
Punjab,2002,Murder - Male Victims,1. Male Victims,44,631,3,3,2,245,334
Rajasthan,2002,Murder - Male Victims,1. Male Victims,92,1063,1,5,2,432,531
Sikkim,2002,Murder - Male Victims,1. Male Victims,NULL,13,NULL,NULL,2,4,7
Tamil Nadu,2002,Murder - Male Victims,1. Male Victims,197,1269,4,11,2,512,543
Tripura,2002,Murder - Male Victims,1. Male Victims,22,189,NULL,NULL,0,95,72
Uttar Pradesh,2002,Murder - Male Victims,1. Male Victims,493,6085,134,29,227,2824,2378
Uttarakhand,2002,Murder - Male Victims,1. Male Victims,19,268,2,NULL,1,77,169
West Bengal,2002,Murder - Male Victims,1. Male Victims,52,1181,0,0,0,664,465
Andaman & Nicobar Islands,2003,Murder - Male Victims,1. Male Victims,1,12,0,0,0,6,5
Andhra Pradesh,2003,Murder - Male Victims,1. Male Victims,207,2177,31,17,43,992,887
Arunachal Pradesh,2003,Murder - Male Victims,1. Male Victims,0,77,0,0,0,64,13
Assam,2003,Murder - Male Victims,1. Male Victims,55,1088,0,2,0,571,460
Bihar,2003,Murder - Male Victims,1. Male Victims,199,3379,2,2,3,1637,1536
Chandigarh,2003,Murder - Male Victims,1. Male Victims,0,15,1,0,0,5,9
Chhattisgarh,2003,Murder - Male Victims,1. Male Victims,65,581,8,16,2,228,262
Dadra & Nagar Haveli,2003,Murder - Male Victims,1. Male Victims,1,8,NULL,NULL,NULL,3,4
Daman & Diu,2003,Murder - Male Victims,1. Male Victims,3,6,0,0,0,0,3
Delhi,2003,Murder - Male Victims,1. Male Victims,25,371,10,11,12,210,103
Goa,2003,Murder - Male Victims,1. Male Victims,2,20,NULL,NULL,NULL,6,12
Gujarat,2003,Murder - Male Victims,1. Male Victims,82,808,5,32,13,297,379
Haryana,2003,Murder - Male Victims,1. Male Victims,31,597,1,2,12,308,243
Himachal Pradesh,2003,Murder - Male Victims,1. Male Victims,4,96,2,5,1,31,53
Jammu & Kashmir,2003,Murder - Male Victims,1. Male Victims,79,1013,0,0,0,375,559
Jharkhand,2003,Murder - Male Victims,1. Male Victims,85,1086,2,5,1,506,487
Karnataka,2003,Murder - Male Victims,1. Male Victims,111,1051,11,41,50,399,439
Kerala,2003,Murder - Male Victims,1. Male Victims,56,309,1,7,2,92,151
Madhya Pradesh,2003,Murder - Male Victims,1. Male Victims,104,1773,21,25,60,790,773
Maharashtra,2003,Murder - Male Victims,1. Male Victims,304,1955,22,63,23,717,826
Manipur,2003,Murder - Male Victims,1. Male Victims,9,174,0,0,0,109,56
Meghalaya,2003,Murder - Male Victims,1. Male Victims,3,165,0,1,11,60,90
Mizoram,2003,Murder - Male Victims,1. Male Victims,1,37,0,1,4,11,20
Nagaland,2003,Murder - Male Victims,1. Male Victims,0,85,0,0,0,65,20
Odisha,2003,Murder - Male Victims,1. Male Victims,65,769,4,5,10,363,322
Puducherry,2003,Murder - Male Victims,1. Male Victims,3,22,NULL,1,NULL,8,10
Punjab,2003,Murder - Male Victims,1. Male Victims,56,594,3,9,6,249,271
Rajasthan,2003,Murder - Male Victims,1. Male Victims,102,1013,4,11,3,437,456
Sikkim,2003,Murder - Male Victims,1. Male Victims,2,10,NULL,NULL,1,5,2
Tamil Nadu,2003,Murder - Male Victims,1. Male Victims,197,1111,4,4,15,357,534
Tripura,2003,Murder - Male Victims,1. Male Victims,30,231,NULL,NULL,0,117,84
Uttar Pradesh,2003,Murder - Male Victims,1. Male Victims,412,4285,87,27,206,2011,1542
Uttarakhand,2003,Murder - Male Victims,1. Male Victims,16,231,0,0,1,87,127
West Bengal,2003,Murder - Male Victims,1. Male Victims,52,1167,0,1,2,606,506
Andaman & Nicobar Islands,2004,Murder - Male Victims,1. Male Victims,2,10,0,1,0,2,5
Andhra Pradesh,2004,Murder - Male Victims,1. Male Victims,222,1985,15,22,15,856,855
Arunachal Pradesh,2004,Murder - Male Victims,1. Male Victims,3,65,0,0,0,36,26
Assam,2004,Murder - Male Victims,1. Male Victims,68,1130,0,1,0,636,425
Bihar,2004,Murder - Male Victims,1. Male Victims,178,3523,9,2,4,1906,1424
Chandigarh,2004,Murder - Male Victims,1. Male Victims,2,14,0,0,1,5,6
Chhattisgarh,2004,Murder - Male Victims,1. Male Victims,91,658,6,15,23,235,288
Dadra & Nagar Haveli,2004,Murder - Male Victims,1. Male Victims,1,9,0,0,1,3,4
Daman & Diu,2004,Murder - Male Victims,1. Male Victims,NULL,2,NULL,NULL,NULL,1,1
Delhi,2004,Murder - Male Victims,1. Male Victims,32,385,14,20,15,170,134
Goa,2004,Murder - Male Victims,1. Male Victims,3,25,NULL,1,NULL,8,13
Gujarat,2004,Murder - Male Victims,1. Male Victims,79,829,5,31,6,315,393
Haryana,2004,Murder - Male Victims,1. Male Victims,40,583,1,0,20,278,244
Himachal Pradesh,2004,Murder - Male Victims,1. Male Victims,16,85,3,2,0,30,34
Jammu & Kashmir,2004,Murder - Male Victims,1. Male Victims,70,882,NULL,NULL,NULL,438,374
Jharkhand,2004,Murder - Male Victims,1. Male Victims,85,1089,2,5,1,507,489
Karnataka,2004,Murder - Male Victims,1. Male Victims,112,1006,3,24,2,432,433
Kerala,2004,Murder - Male Victims,1. Male Victims,62,290,2,24,3,68,131
Madhya Pradesh,2004,Murder - Male Victims,1. Male Victims,224,1886,18,7,96,826,715
Maharashtra,2004,Murder - Male Victims,1. Male Victims,204,1773,18,56,36,653,806
Manipur,2004,Murder - Male Victims,1. Male Victims,9,178,0,0,0,117,52
Meghalaya,2004,Murder - Male Victims,1. Male Victims,1,149,0,0,0,97,51
Mizoram,2004,Murder - Male Victims,1. Male Victims,5,31,0,0,0,13,13
Nagaland,2004,Murder - Male Victims,1. Male Victims,0,56,0,0,0,28,28
Odisha,2004,Murder - Male Victims,1. Male Victims,45,780,1,1,3,389,341
Puducherry,2004,Murder - Male Victims,1. Male Victims,2,22,NULL,1,NULL,11,8
Punjab,2004,Murder - Male Victims,1. Male Victims,60,608,4,10,9,250,275
Rajasthan,2004,Murder - Male Victims,1. Male Victims,127,1005,4,4,5,422,443
Sikkim,2004,Murder - Male Victims,1. Male Victims,2,13,0,1,0,2,8
Tamil Nadu,2004,Murder - Male Victims,1. Male Victims,189,1051,7,32,4,372,447
Tripura,2004,Murder - Male Victims,1. Male Victims,16,182,2,0,2,97,65
Uttar Pradesh,2004,Murder - Male Victims,1. Male Victims,464,5264,147,60,223,2224,2146
Uttarakhand,2004,Murder - Male Victims,1. Male Victims,20,220,0,2,0,108,90
West Bengal,2004,Murder - Male Victims,1. Male Victims,51,1008,0,0,0,518,439
Andaman & Nicobar Islands,2005,Murder - Male Victims,1. Male Victims,1,11,NULL,1,NULL,4,5
Andhra Pradesh,2005,Murder - Male Victims,1. Male Victims,245,2206,14,24,21,953,949
Arunachal Pradesh,2005,Murder - Male Victims,1. Male Victims,2,80,0,0,0,58,20
Assam,2005,Murder - Male Victims,1. Male Victims,72,1129,4,0,9,672,372
Bihar,2005,Murder - Male Victims,1. Male Victims,173,3029,8,5,10,1850,983
Chandigarh,2005,Murder - Male Victims,1. Male Victims,0,15,0,2,0,6,7
Chhattisgarh,2005,Murder - Male Victims,1. Male Victims,88,727,8,7,7,280,337
Dadra & Nagar Haveli,2005,Murder - Male Victims,1. Male Victims,2,7,NULL,1,1,2,1
Daman & Diu,2005,Murder - Male Victims,1. Male Victims,NULL,5,1,NULL,NULL,4,NULL
Delhi,2005,Murder - Male Victims,1. Male Victims,25,375,9,10,4,197,130
Goa,2005,Murder - Male Victims,1. Male Victims,4,35,1,NULL,NULL,7,23
Gujarat,2005,Murder - Male Victims,1. Male Victims,84,757,9,41,10,293,320
Haryana,2005,Murder - Male Victims,1. Male Victims,67,669,7,6,17,286,286
Himachal Pradesh,2005,Murder - Male Victims,1. Male Victims,14,82,0,3,1,27,37
Jammu & Kashmir,2005,Murder - Male Victims,1. Male Victims,45,644,0,2,0,361,236
Jharkhand,2005,Murder - Male Victims,1. Male Victims,114,1350,23,5,69,390,749
Karnataka,2005,Murder - Male Victims,1. Male Victims,131,1088,0,22,3,473,459
Kerala,2005,Murder - Male Victims,1. Male Victims,62,284,4,18,4,62,134
Madhya Pradesh,2005,Murder - Male Victims,1. Male Victims,229,1900,20,25,60,771,795
Maharashtra,2005,Murder - Male Victims,1. Male Victims,225,1765,26,77,26,634,777
Manipur,2005,Murder - Male Victims,1. Male Victims,6,276,0,0,0,174,96
Meghalaya,2005,Murder - Male Victims,1. Male Victims,4,119,1,2,3,49,60
Mizoram,2005,Murder - Male Victims,1. Male Victims,5,31,0,0,0,13,13
Nagaland,2005,Murder - Male Victims,1. Male Victims,3,74,0,0,0,35,36
Odisha,2005,Murder - Male Victims,1. Male Victims,55,807,1,2,1,373,375
Puducherry,2005,Murder - Male Victims,1. Male Victims,NULL,10,NULL,NULL,NULL,3,7
Punjab,2005,Murder - Male Victims,1. Male Victims,55,557,5,7,5,244,241
Rajasthan,2005,Murder - Male Victims,1. Male Victims,95,950,7,7,16,399,426
Sikkim,2005,Murder - Male Victims,1. Male Victims,1,5,1,NULL,NULL,1,2
Tamil Nadu,2005,Murder - Male Victims,1. Male Victims,183,1049,3,22,3,353,485
Tripura,2005,Murder - Male Victims,1. Male Victims,10,94,NULL,NULL,0,42,42
Uttar Pradesh,2005,Murder - Male Victims,1. Male Victims,483,5011,65,25,159,2425,1854
Uttarakhand,2005,Murder - Male Victims,1. Male Victims,28,237,2,2,0,102,103
West Bengal,2005,Murder - Male Victims,1. Male Victims,60,1089,1,0,0,673,355
Andaman & Nicobar Islands,2006,Murder - Male Victims,1. Male Victims,2,4,NULL,NULL,NULL,1,1
Andhra Pradesh,2006,Murder - Male Victims,1. Male Victims,312,2196,11,12,4,1045,812
Arunachal Pradesh,2006,Murder - Male Victims,1. Male Victims,0,60,0,0,0,40,20
Assam,2006,Murder - Male Victims,1. Male Victims,81,1131,4,0,7,648,391
Bihar,2006,Murder - Male Victims,1. Male Victims,103,2836,1,1,5,1651,1075
Chandigarh,2006,Murder - Male Victims,1. Male Victims,2,10,0,1,0,2,5
Chhattisgarh,2006,Murder - Male Victims,1. Male Victims,101,762,5,8,14,268,366
Dadra & Nagar Haveli,2006,Murder - Male Victims,1. Male Victims,1,6,0,1,0,1,3
Daman & Diu,2006,Murder - Male Victims,1. Male Victims,0,5,0,0,0,3,2
Delhi,2006,Murder - Male Victims,1. Male Victims,20,360,10,18,16,208,88
Goa,2006,Murder - Male Victims,1. Male Victims,8,30,NULL,NULL,1,8,13
Gujarat,2006,Murder - Male Victims,1. Male Victims,67,848,13,46,10,347,365
Haryana,2006,Murder - Male Victims,1. Male Victims,48,743,8,0,19,314,354
Himachal Pradesh,2006,Murder - Male Victims,1. Male Victims,7,98,0,3,0,37,51
Jammu & Kashmir,2006,Murder - Male Victims,1. Male Victims,16,565,0,2,2,287,258
Jharkhand,2006,Murder - Male Victims,1. Male Victims,225,1278,17,11,71,474,480
Karnataka,2006,Murder - Male Victims,1. Male Victims,100,1089,10,28,6,463,482
Kerala,2006,Murder - Male Victims,1. Male Victims,51,288,1,30,1,72,133
Madhya Pradesh,2006,Murder - Male Victims,1. Male Victims,288,1820,22,34,54,700,722
Maharashtra,2006,Murder - Male Victims,1. Male Victims,291,1966,24,84,27,726,814
Manipur,2006,Murder - Male Victims,1. Male Victims,16,229,2,0,4,122,85
Meghalaya,2006,Murder - Male Victims,1. Male Victims,3,146,0,1,5,75,62
Mizoram,2006,Murder - Male Victims,1. Male Victims,0,22,0,0,0,17,5
Nagaland,2006,Murder - Male Victims,1. Male Victims,0,115,1,4,4,74,32
Odisha,2006,Murder - Male Victims,1. Male Victims,42,783,4,0,9,368,360
Puducherry,2006,Murder - Male Victims,1. Male Victims,2,21,NULL,NULL,1,9,9
Punjab,2006,Murder - Male Victims,1. Male Victims,87,614,1,7,6,266,247
Rajasthan,2006,Murder - Male Victims,1. Male Victims,115,989,16,19,19,392,428
Sikkim,2006,Murder - Male Victims,1. Male Victims,3,14,NULL,NULL,4,2,5
Tamil Nadu,2006,Murder - Male Victims,1. Male Victims,154,903,7,15,2,286,439
Tripura,2006,Murder - Male Victims,1. Male Victims,14,131,2,1,NULL,49,65
Uttar Pradesh,2006,Murder - Male Victims,1. Male Victims,453,4835,98,23,149,2405,1707
Uttarakhand,2006,Murder - Male Victims,1. Male Victims,10,230,2,0,5,79,134
West Bengal,2006,Murder - Male Victims,1. Male Victims,52,995,0,1,2,546,394
Andaman & Nicobar Islands,2007,Murder - Male Victims,1. Male Victims,2,9,NULL,NULL,NULL,3,4
Andhra Pradesh,2007,Murder - Male Victims,1. Male Victims,206,1964,8,19,29,874,828
Arunachal Pradesh,2007,Murder - Male Victims,1. Male Victims,1,65,0,0,0,41,23
Assam,2007,Murder - Male Victims,1. Male Victims,97,1286,1,0,1,766,421
Bihar,2007,Murder - Male Victims,1. Male Victims,152,2691,23,12,41,1451,1012
Chandigarh,2007,Murder - Male Victims,1. Male Victims,0,14,0,0,0,7,7
Chhattisgarh,2007,Murder - Male Victims,1. Male Victims,156,787,11,10,14,281,315
Dadra & Nagar Haveli,2007,Murder - Male Victims,1. Male Victims,NULL,6,NULL,1,NULL,1,4
Daman & Diu,2007,Murder - Male Victims,1. Male Victims,4,11,1,1,0,3,2
Delhi,2007,Murder - Male Victims,1. Male Victims,28,384,5,14,20,205,112
Goa,2007,Murder - Male Victims,1. Male Victims,4,18,NULL,NULL,NULL,3,11
Gujarat,2007,Murder - Male Victims,1. Male Victims,99,900,10,38,13,289,451
Haryana,2007,Murder - Male Victims,1. Male Victims,53,775,20,19,29,332,322
Himachal Pradesh,2007,Murder - Male Victims,1. Male Victims,14,97,2,3,1,31,46
Jammu & Kashmir,2007,Murder - Male Victims,1. Male Victims,16,326,0,0,0,170,140
Jharkhand,2007,Murder - Male Victims,1. Male Victims,102,1380,12,0,5,550,711
Karnataka,2007,Murder - Male Victims,1. Male Victims,133,1081,5,15,6,381,541
Kerala,2007,Murder - Male Victims,1. Male Victims,57,252,8,17,1,54,115
Madhya Pradesh,2007,Murder - Male Victims,1. Male Victims,217,1764,27,48,34,697,741
Maharashtra,2007,Murder - Male Victims,1. Male Victims,259,1779,24,92,27,654,723
Manipur,2007,Murder - Male Victims,1. Male Victims,8,275,1,1,4,140,121
Meghalaya,2007,Murder - Male Victims,1. Male Victims,9,107,3,0,7,36,52
Mizoram,2007,Murder - Male Victims,1. Male Victims,2,25,0,0,1,15,7
Nagaland,2007,Murder - Male Victims,1. Male Victims,3,104,0,0,1,42,58
Odisha,2007,Murder - Male Victims,1. Male Victims,38,863,10,4,11,395,405
Puducherry,2007,Murder - Male Victims,1. Male Victims,1,25,NULL,1,1,17,5
Punjab,2007,Murder - Male Victims,1. Male Victims,67,601,8,7,6,266,247
Rajasthan,2007,Murder - Male Victims,1. Male Victims,103,1040,17,18,26,393,483
Sikkim,2007,Murder - Male Victims,1. Male Victims,1,6,NULL,NULL,NULL,3,2
Tamil Nadu,2007,Murder - Male Victims,1. Male Victims,228,1107,6,18,2,346,507
Tripura,2007,Murder - Male Victims,1. Male Victims,17,100,4,NULL,2,33,44
Uttar Pradesh,2007,Murder - Male Victims,1. Male Victims,378,4283,97,37,102,2050,1619
Uttarakhand,2007,Murder - Male Victims,1. Male Victims,18,191,1,3,5,111,53
West Bengal,2007,Murder - Male Victims,1. Male Victims,57,1006,2,1,2,527,417
Andaman & Nicobar Islands,2008,Murder - Male Victims,1. Male Victims,2,6,NULL,NULL,NULL,2,2
Andhra Pradesh,2008,Murder - Male Victims,1. Male Victims,221,1932,14,11,55,855,776
Arunachal Pradesh,2008,Murder - Male Victims,1. Male Victims,2,71,0,0,0,40,29
Assam,2008,Murder - Male Victims,1. Male Victims,55,1323,1,0,0,790,477
Bihar,2008,Murder - Male Victims,1. Male Victims,96,2502,11,25,48,1401,921
Chandigarh,2008,Murder - Male Victims,1. Male Victims,1,11,0,0,0,7,3
Chhattisgarh,2008,Murder - Male Victims,1. Male Victims,112,806,12,13,29,282,358
Dadra & Nagar Haveli,2008,Murder - Male Victims,1. Male Victims,2,5,NULL,NULL,NULL,NULL,3
Daman & Diu,2008,Murder - Male Victims,1. Male Victims,0,2,0,0,NULL,0,2
Delhi,2008,Murder - Male Victims,1. Male Victims,36,473,8,21,15,139,254
Goa,2008,Murder - Male Victims,1. Male Victims,6,33,NULL,NULL,NULL,10,17
Gujarat,2008,Murder - Male Victims,1. Male Victims,78,805,6,23,8,312,378
Haryana,2008,Murder - Male Victims,1. Male Victims,100,785,6,4,8,307,360
Himachal Pradesh,2008,Murder - Male Victims,1. Male Victims,10,94,1,3,4,27,49
Jammu & Kashmir,2008,Murder - Male Victims,1. Male Victims,16,236,0,0,0,94,126
Jharkhand,2008,Murder - Male Victims,1. Male Victims,73,1431,0,2,6,726,624
Karnataka,2008,Murder - Male Victims,1. Male Victims,129,1176,11,58,18,428,532
Kerala,2008,Murder - Male Victims,1. Male Victims,54,251,5,14,NULL,62,116
Madhya Pradesh,2008,Murder - Male Victims,1. Male Victims,248,1835,55,11,11,695,815
Maharashtra,2008,Murder - Male Victims,1. Male Victims,262,1927,32,54,20,700,859
Manipur,2008,Murder - Male Victims,1. Male Victims,12,249,4,3,3,132,95
Meghalaya,2008,Murder - Male Victims,1. Male Victims,9,111,0,0,0,54,48
Mizoram,2008,Murder - Male Victims,1. Male Victims,0,33,0,0,0,23,10
Nagaland,2008,Murder - Male Victims,1. Male Victims,3,141,0,0,0,81,57
Odisha,2008,Murder - Male Victims,1. Male Victims,51,705,2,4,3,276,369
Puducherry,2008,Murder - Male Victims,1. Male Victims,3,27,NULL,1,NULL,12,11
Punjab,2008,Murder - Male Victims,1. Male Victims,66,596,4,7,6,266,247
Rajasthan,2008,Murder - Male Victims,1. Male Victims,101,1033,18,13,36,398,467
Sikkim,2008,Murder - Male Victims,1. Male Victims,NULL,6,NULL,NULL,2,1,3
Tamil Nadu,2008,Murder - Male Victims,1. Male Victims,234,1200,5,43,0,364,554
Tripura,2008,Murder - Male Victims,1. Male Victims,13,103,7,4,3,21,55
Uttar Pradesh,2008,Murder - Male Victims,1. Male Victims,331,3859,69,30,119,1927,1383
Uttarakhand,2008,Murder - Male Victims,1. Male Victims,25,213,NULL,1,2,139,46
West Bengal,2008,Murder - Male Victims,1. Male Victims,149,1561,5,1,9,735,662
Andaman & Nicobar Islands,2009,Murder - Male Victims,1. Male Victims,NULL,10,NULL,2,NULL,3,5
Andhra Pradesh,2009,Murder - Male Victims,1. Male Victims,184,1675,12,12,22,668,777
Arunachal Pradesh,2009,Murder - Male Victims,1. Male Victims,0,58,0,0,0,30,28
Assam,2009,Murder - Male Victims,1. Male Victims,40,1226,0,0,4,784,398
Bihar,2009,Murder - Male Victims,1. Male Victims,125,2507,21,13,51,1419,878
Chandigarh,2009,Murder - Male Victims,1. Male Victims,1,19,0,1,0,11,6
Chhattisgarh,2009,Murder - Male Victims,1. Male Victims,117,757,9,24,27,231,349
Dadra & Nagar Haveli,2009,Murder - Male Victims,1. Male Victims,1,4,NULL,1,NULL,1,1
Daman & Diu,2009,Murder - Male Victims,1. Male Victims,NULL,4,NULL,NULL,NULL,1,3
Delhi,2009,Murder - Male Victims,1. Male Victims,23,445,17,17,28,243,117
Goa,2009,Murder - Male Victims,1. Male Victims,3,26,0,2,0,8,13
Gujarat,2009,Murder - Male Victims,1. Male Victims,56,734,9,24,4,266,375
Haryana,2009,Murder - Male Victims,1. Male Victims,83,786,4,2,9,331,357
Himachal Pradesh,2009,Murder - Male Victims,1. Male Victims,14,94,1,0,2,31,46
Jammu & Kashmir,2009,Murder - Male Victims,1. Male Victims,10,216,0,1,3,98,104
Jharkhand,2009,Murder - Male Victims,1. Male Victims,81,1435,1,3,5,609,736
Karnataka,2009,Murder - Male Victims,1. Male Victims,121,1073,14,12,5,363,558
Kerala,2009,Murder - Male Victims,1. Male Victims,58,260,7,25,1,60,109
Madhya Pradesh,2009,Murder - Male Victims,1. Male Victims,257,1777,20,42,25,672,761
Maharashtra,2009,Murder - Male Victims,1. Male Victims,216,1712,11,63,20,681,721
Manipur,2009,Murder - Male Victims,1. Male Victims,16,156,1,2,3,56,78
Meghalaya,2009,Murder - Male Victims,1. Male Victims,7,106,2,0,3,69,25
Mizoram,2009,Murder - Male Victims,1. Male Victims,NULL,28,NULL,NULL,NULL,8,20
Nagaland,2009,Murder - Male Victims,1. Male Victims,1,40,0,0,0,21,18
Odisha,2009,Murder - Male Victims,1. Male Victims,118,806,0,1,8,336,343
Puducherry,2009,Murder - Male Victims,1. Male Victims,2,29,NULL,NULL,NULL,13,14
